OBJECTID,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,LONGITUDE_POINT,LATITUDE_POINT,BIN_STATUS
1,N01,N001,KATHIVAKKAM,MUGATHUVARAKUPPAM,MUGATHUVARAKUPPAM 1 ST,S_W001_001,13.227447,80.326402,80.3264017,13.2274466,Full
2,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR IX ST,S_W001_001,13.224189,80.320426,80.3204261,13.2241891,Empty
3,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR VIII ST,S_W001_001,13.223617,80.320132,80.3201318,13.2236174,Half Full
4,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM MAIN BAZAR ROAD,S_W001_001,13.226809,80.324957,80.3249567,13.2268085,Full
5,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM MAIN BAZAR ROAD,S_W001_002,13.227246,80.325979,80.3259792,13.2272462,Full
6,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THAZHANKUPPAM COLONY 1ST STREET,S_W001_001,13.227678,80.327565,80.3275654,13.227678,Half Full
7,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR IV ST,S_W001_001,13.222337,80.320111,80.3201106,13.2223366,Full
8,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR VII ST,S_W001_001,13.221166,80.323788,80.3237884,13.2211661,Half Full
9,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XIII ST,S_W001_001,13.223494,80.327246,80.3272464,13.2234935,Full
10,N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM IV ST,S_W001_001,13.227179,80.325819,80.3258195,13.2271791,Empty
11,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR I ST,S_W001_001,13.223405,80.320062,80.3200619,13.2234051,Full
12,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XVIII ST,S_W001_001,13.225381,80.324899,80.3248992,13.225381,Full
13,N01,N001,KATHIVAKKAM,VOC NAGAR,V.O.C. Nagar 1st Block,S_W001_001,13.225385,80.320939,80.320939,13.2253848,Full
14,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THAZHANKUPPAM CHINNAMMAN KOVIL STREET,S_W001_001,13.228492,80.328018,80.3280175,13.2284918,Full
15,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XI ST,S_W001_001,13.222938,80.32698,80.3269804,13.2229381,Full
16,N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM V ST,S_W001_001,13.22718,80.325801,80.3258008,13.2271798,Half Full
17,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR V ST,S_W001_001,13.221179,80.323779,80.3237791,13.2211794,Half Full
18,N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM  MAIN ROAD,S_W001_001,13.226353,80.325209,80.3252088,13.2263529,Half Full
19,N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM  MAIN ROAD,S_W001_002,13.22467,80.324432,80.324432,13.2246699,Full
20,N01,N001,KATHIVAKKAM,JJ NAGAR,JJ NAGAR,S_W001_001,13.22482,80.320773,80.3207729,13.2248198,Full
21,N01,N001,KATHIVAKKAM,ENNORE KUPPAM,ENNORE KUPPAM 1 STREET,S_W001_001,13.227357,80.325614,80.3256142,13.2273574,Full
22,N01,N001,KATHIVAKKAM,ENNORE KUPPAM,ENNORE KUPPAM 3 STREET,S_W001_001,13.227958,80.327147,80.3271467,13.2279576,Full
23,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,BEACH ROAD THALANKUPPAM,S_W001_001,13.226211,80.32367,80.3236703,13.2262108,Empty
24,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,BEACH ROAD THALANKUPPAM,S_W001_002,13.224788,80.327847,80.3278472,13.2247885,Full
25,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,BEACH ROAD THALANKUPPAM,S_W001_003,13.224775,80.327821,80.3278211,13.2247749,Full
26,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR III ST,S_W001_001,13.222854,80.319852,80.319852,13.222854,Empty
27,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR III ST,S_W001_001,13.221146,80.323855,80.3238551,13.2211459,Empty
28,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XIV ST,S_W001_001,13.224071,80.324396,80.3243957,13.2240711,Full
29,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XV ST,S_W001_001,13.224811,80.32766,80.3276597,13.2248107,Empty
30,N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM I MAIN ROAD,S_W001_001,13.229232,80.327865,80.3278654,13.229232,Full
31,N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM I MAIN ROAD,S_W001_003,13.229314,80.329873,80.3298731,13.2293145,Half Full
32,N01,N001,KATHIVAKKAM,NETTUKUPPAM,NETTUKUPPAM I MAIN ROAD,S_W001_002,13.23037,80.328356,80.3283558,13.2303696,Empty
33,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,EXPRESS ROAD,S_W001_001,13.225618,80.327468,80.3274681,13.2256178,Half Full
34,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,EXPRESS ROAD,S_W001_001,13.226782,80.326877,80.3268774,13.2267818,Full
35,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,EXPRESS ROAD,S_W001_001,13.226092,80.322538,80.3225378,13.2260915,Full
36,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XII ST,S_W001_001,13.223207,80.327081,80.3270811,13.2232067,Full
37,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM V ST,S_W001_001,13.228539,80.32798,80.3279799,13.2285391,Full
38,N01,N002,KATHIVAKKAM,KH ROAD,KH ROAD,S_W002_001,13.217638,80.320039,80.3200393,13.2176382,Half Full
39,N01,N002,KATHIVAKKAM,KH ROAD,KH ROAD,S_W002_002,13.217128,80.320223,80.320223,13.2171277,Full
40,N01,N002,KATHIVAKKAM,KH ROAD,KH ROAD,S_W002_003,13.216833,80.320297,80.3202975,13.2168329,Full
41,N01,N002,KATHIVAKKAM,KH ROAD,KH ROAD,S_W002_004,13.216591,80.320278,80.3202778,13.216591,Half Full
42,N01,N002,KATHIVAKKAM,RAILWAY STATION ROAD,GANDHI NAGAR,S_W002_001,13.218229,80.320113,80.3201132,13.2182293,Empty
43,N01,N002,KATHIVAKKAM,RAILWAY STATION ROAD,GANDHI NAGAR,S_W002_002,13.218155,80.320095,80.3200949,13.2181552,Empty
44,N01,N002,KATHIVAKKAM,RAILWAY STATION ROAD,R.S. ROAD M.G.R. NAGAR,S_W002_001,13.219008,80.321245,80.3212455,13.2190076,Full
45,N01,N002,KATHIVAKKAM,ANNA NAGAR,ANNA NAGAR III ST,S_W002_001,13.207042,80.315392,80.3153917,13.2070416,Empty
46,N01,N002,KATHIVAKKAM,GRAMATHERU,GRAMATHERU,S_W002_001,13.217029,80.319576,80.319576,13.2170294,Empty
47,N01,N002,KATHIVAKKAM,SIVANPADAI STREET,SIVANPADAI STREET,S_W002_001,13.215513,80.320564,80.3205639,13.2155133,Half Full
48,N01,N002,KATHIVAKKAM,SOUTH LOCK ROAD,SOUTH LOCK ROAD,S_W002_001,13.221687,80.319411,80.3194115,13.2216873,Full
49,N01,N002,KATHIVAKKAM,NEHRU NAGAR,NEHRU NAGAR I CROSS ST,S_W002_001,13.212211,80.317875,80.3178749,13.212211,Half Full
50,N01,N002,KATHIVAKKAM,SATHIYA NAGAR,SATHIYA NAGAR,S_W002_001,13.21709,80.319852,80.3198518,13.2170898,Half Full
51,N01,N002,KATHIVAKKAM,THILAGAR NAGAR,THILAGAR NAGAR,S_W002_001,13.217048,80.319841,80.3198413,13.217048,Half Full
52,N01,N002,KATHIVAKKAM,RAILWAY STATION ROAD,KH ROAD,S_W002_001,13.217073,80.320471,80.3204706,13.2170729,Full
53,N01,N002,KATHIVAKKAM,VALLUVAR NAGAR,VALLUVAR NAGAR,S_W002_001,13.219691,80.319953,80.3199534,13.2196911,Empty
54,N01,N002,KATHIVAKKAM,VALLUVAR NAGAR,VALLUVAR NAGAR,S_W002_002,13.219685,80.319937,80.3199366,13.2196855,Empty
55,N01,N002,KATHIVAKKAM,PERIYAKUPPAM,PERIYAKUPPAM II STREET,S_W002_002,13.21178,80.317548,80.3175485,13.2117796,Empty
56,N01,N002,KATHIVAKKAM,RAJIV GANDHI NAGAR,RAJIV GANDHI NAGAR,S_W002_001,13.216513,80.317839,80.3178389,13.2165126,Full
57,N01,N002,KATHIVAKKAM,KAVERI NAGAR,KAVERI NAGAR,S_W002_001,13.215141,80.320515,80.320515,13.2151411,Full
58,N01,N002,KATHIVAKKAM,THADAVUKKARA KUPPAM,THADAVUKKARA KUPPAM,S_W002_001,13.217045,80.319796,80.3197961,13.2170452,Full
59,N01,N002,KATHIVAKKAM,RAMMOORTHI NAGAR,RAMMOORTHI NAGAR 1st STREET,S_W002_001,13.217011,80.319876,80.3198763,13.2170112,Empty
60,N01,N002,KATHIVAKKAM,PERIYAKUPPAM,EXPRESS ROAD PERIYAKUPPAM,S_W002_001,13.213541,80.319432,80.3194316,13.2135409,Full
61,N01,N002,KATHIVAKKAM,RAILWAY STATION ROAD,RAILWAY STATION I ST,S_W002_001,13.217069,80.319655,80.3196553,13.2170687,Full
62,N01,N002,KATHIVAKKAM,VALLUVAR NAGAR,KH ROAD,S_W002_001,13.22075,80.319642,80.319642,13.2207498,Empty
63,N01,N002,KATHIVAKKAM,VALLUVAR NAGAR,KH ROAD,S_W002_002,13.221423,80.319445,80.3194449,13.2214228,Full
64,N01,N002,KATHIVAKKAM,NEHRU NAGAR,FOUNDRY I ST,S_W002_001,13.213119,80.319039,80.3190393,13.2131187,Full
65,N01,N002,KATHIVAKKAM,PERIYAKUPPAM,PERIYAKUPPAM I STREET,S_W002_001,13.212202,80.323886,80.3238855,13.212202,Empty
66,N01,N002,KATHIVAKKAM,NEHRU NAGAR,C.S.I,S_W002_001,13.213486,80.319538,80.3195382,13.2134859,Full
67,N01,N002,KATHIVAKKAM,NEHRU NAGAR,C.S.I,S_W002_002,13.213517,80.319475,80.3194751,13.2135169,Full
68,N01,N002,KATHIVAKKAM,KAMALAMMAL NAGAR,KAMALAMMAL NAGAR 4th STREET,S_W002_001,13.217058,80.31951,80.3195097,13.2170583,Full
69,N01,N002,KATHIVAKKAM,CHINNAKUPPAM,CHINNAKUPPAM 2nd STREET,S_W002_001,13.206992,80.315377,80.3153769,13.2069915,Full
70,N01,N002,KATHIVAKKAM,CHINNAKUPPAM,EPRESS ROAD  CHINNAKUPPAM,S_W002_001,13.207935,80.315868,80.3158678,13.2079354,Empty
71,N01,N002,KATHIVAKKAM,SHASTRI NAGAR,SHASTRI NAGAR I ST,S_W002_001,13.207937,80.315891,80.3158913,13.2079367,Full
72,N01,N002,KATHIVAKKAM,NEHRU NAGAR,KH ROAD,S_W002_001,13.211874,80.317602,80.3176021,13.2118735,Full
73,N01,N002,KATHIVAKKAM,NEHRU NAGAR,KH ROAD,S_W002_002,13.211848,80.317596,80.3175962,13.2118485,Empty
74,N01,N002,KATHIVAKKAM,NEHRU NAGAR,KH ROAD,S_W002_003,13.210299,80.316767,80.3167669,13.2102989,Full
75,N01,N002,KATHIVAKKAM,NEHRU NAGAR,KH ROAD,S_W002_004,13.21043,80.316779,80.3167787,13.2104298,Empty
76,N01,N002,KATHIVAKKAM,NEHRU NAGAR,NEHRU NAGAR II CROSS ST,S_W002_001,13.212726,80.318525,80.3185254,13.2127259,Empty
77,N01,N003,ERNAVOOR,ERNAVOOR,ETPS QUARTERS,S_W003_001,13.195898,80.312207,80.3122066,13.1958978,Full
78,N01,N003,ERNAVOOR,ERNAVOOR,ETPS QUARTERS,S_W003_001,13.195687,80.312217,80.3122168,13.1956873,Full
79,N01,N003,ERNAVOOR,ERNAVOOR,ETPS QUARTERS,S_W003_001,13.195233,80.312061,80.3120605,13.1952328,Empty
80,N01,N003,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR 1ST STREET,S_W003_001,13.189726,80.31305,80.3130502,13.1897258,Full
81,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 1ST STREET,S_W003_001,13.200157,80.316116,80.3161156,13.2001566,Full
82,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 2ND STREET,S_W003_001,13.199675,80.315848,80.3158478,13.1996748,Full
83,N01,N003,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR 5TH STREET,S_W003_001,13.188461,80.315047,80.3150466,13.1884605,Full
84,N01,N003,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR 8TH STREET,S_W003_001,13.18784,80.315038,80.315038,13.1878397,Full
85,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM  1ST STREET,S_W003_001,13.190927,80.316151,80.3161508,13.190927,Full
86,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM  1ST STREET,S_W003_001,13.190932,80.316192,80.3161916,13.1909318,Full
87,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM  1ST STREET,S_W003_001,13.190967,80.31597,80.3159698,13.1909669,Full
88,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM  1ST STREET,S_W003_001,13.190766,80.317469,80.3174692,13.190766,Full
89,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 8TH STREET,S_W003_001,13.197697,80.315098,80.3150975,13.197697,Half Full
90,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_001,13.205535,80.317812,80.3178122,13.2055351,Full
91,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_001,13.203794,80.318164,80.318164,13.2037945,Full
92,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_001,13.205561,80.317805,80.3178049,13.2055608,Full
93,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_001,13.204173,80.319321,80.319321,13.2041733,Empty
94,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_002,13.205516,80.317783,80.3177827,13.2055162,Full
95,N01,N003,ENNORE,ENNORE,E.T.P.S. CAMPUS,S_W003_002,13.205271,80.3176,80.3176002,13.2052715,Empty
96,N01,N003,ERNAVOOR,ERNAVOOR,ANNAI SIVAGAMI NAGAR 11TH STREET,S_W003_001,13.196428,80.31472,80.3147198,13.1964285,Full
97,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 6TH STREET,S_W003_001,13.198144,80.315348,80.3153477,13.1981442,Full
98,N01,N003,ENNORE,ENNORE,E.T.P.S 3RD BLOCK,S_W003_001,13.204551,80.3146,80.3145996,13.2045511,Empty
99,N01,N003,ENNORE,ENNORE,E.T.P.S 3RD BLOCK,S_W003_001,13.204566,80.314619,80.3146195,13.2045661,Full
100,N01,N003,ENNORE,ENNORE,E.T.P.S 3RD BLOCK,S_W003_001,13.203501,80.314191,80.3141914,13.2035012,Full
101,N01,N003,ERNAVOOR,KASI VISALATCHI KUPPAM,KASI VISALATCHI KUPPAM,S_W003_001,13.188282,80.315335,80.3153347,13.1882825,Full
102,N01,N003,ERNAVOOR,KASI VISALATCHI KUPPAM,KASI VISALATCHI KUPPAM,S_W003_001,13.189698,80.313512,80.3135119,13.1896983,Full
103,N01,N003,ERNAVOOR,KASI VISALATCHI KUPPAM,KASI VISALATCHI KUPPAM,S_W003_001,13.189734,80.313071,80.313071,13.1897337,Half Full
104,N01,N003,ERNAVOOR,KASI VISALATCHI KUPPAM,KASI VISALATCHI KUPPAM,S_W003_001,13.189869,80.311851,80.3118506,13.1898687,Empty
105,N01,N003,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR 3RD STREET,S_W003_001,13.187845,80.315006,80.3150058,13.1878454,Full
106,N01,N003,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR 6TH STREET,S_W003_001,13.188298,80.315318,80.3153183,13.1882979,Full
107,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM  2ND STREET,S_W003_001,13.191002,80.313534,80.3135344,13.1910024,Full
108,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 3RD STREET,S_W003_001,13.199399,80.315795,80.315795,13.1993987,Full
109,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ERNAVOOR KUPPAM,S_W003_001,13.203019,80.318162,80.3181623,13.2030189,Full
110,N01,N003,ERNAVOOR,ERNAVOOR,T.K.P. NAGAR,S_W003_001,13.18976,80.312584,80.3125842,13.1897599,Full
111,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 4TH STREET,S_W003_001,13.199104,80.315708,80.3157084,13.1991045,Half Full
112,N01,N003,ERNAVOOR,KASI KOIL KUPPAM,KASI KOIL KUPPAM  3RD STREET,S_W003_001,13.190472,80.313448,80.3134479,13.1904721,Full
113,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 5TH STREET,S_W003_001,13.198165,80.315393,80.3153928,13.1981647,Half Full
114,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 7TH STREET,S_W003_001,13.197917,80.315129,80.3151294,13.1979169,Empty
115,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 7TH STREET,S_W003_001,13.198018,80.315229,80.3152286,13.1980181,Half Full
116,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 9TH STREET,S_W003_001,13.197189,80.314902,80.3149019,13.197189,Half Full
117,N01,N003,ENNORE,ANNAI SIVAGAMI NAGAR,ANNAI SIVAGAMI NAGAR 9TH STREET,S_W003_001,13.196937,80.314972,80.3149717,13.1969365,Full
118,N01,N004,ERNAVOOR,THIRUVEEDHI AMMAN KOIL,THIRUVEEDHI AMMAN KOIL STREET,S_W004_001,13.190168,80.307024,80.3070243,13.1901675,Half Full
119,N01,N004,ERNAVOOR,THIRUVEEDHI AMMAN KOIL,THIRUVEEDHI AMMAN KOIL STREET,S_W004_002,13.189318,80.307183,80.3071835,13.1893179,Full
120,N01,N004,ERNAVOOR,VASANTHAM NAGAR,BAJANAI KOIL 1ST STREET,S_W004_001,13.191137,80.307787,80.3077873,13.1911372,Full
121,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM EXTENSION 2ND STREET,S_W004_001,13.175732,80.301497,80.301497,13.1757317,Half Full
122,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM EXTENSION 8TH STREET,S_W004_001,13.17573,80.300438,80.3004379,13.17573,Full
123,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM EXTENSION 8TH STREET,S_W004_002,13.175258,80.300313,80.3003129,13.1752583,Half Full
124,N01,N004,ERNAVOOR,MULLAI NAGAR,MULLAI NAGAR 2ND STREET,S_W004_001,13.185089,80.303043,80.3030426,13.1850894,Full
125,N01,N004,TIRUVOTTRIYUR,JOTHI NAGAR,JOTHI NAGAR 2ND CROSS STREET,S_W004_001,13.180887,80.299863,80.2998626,13.1808868,Full
126,N01,N004,TIRUVOTTRIYUR,JOTHI NAGAR,JOTHI NAGAR 2ND CROSS STREET,S_W004_002,13.181565,80.300417,80.3004174,13.1815646,Full
127,N01,N004,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR KANNIYALAL LAYOUT,S_W004_001,13.18891,80.308786,80.3087861,13.1889097,Full
128,N01,N004,ERNAVOOR,NETHAJI NAGAR,NETHAJI NAGAR KANNIYALAL LAYOUT,S_W004_002,13.188919,80.307623,80.3076235,13.1889189,Full
129,N01,N004,TIRUVOTTRIYUR,JOTHI NAGAR,JOTHI NAGAR 3RD STREET,S_W004_001,13.180542,80.301175,80.3011746,13.1805418,Full
130,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM 7TH STREET,S_W004_001,13.176461,80.300385,80.3003845,13.1764614,Half Full
131,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM 7TH STREET,S_W004_002,13.176943,80.299343,80.299343,13.1769433,Full
132,N01,N004,TIRUVOTTRIYUR,VARADHARAJA PERUMAL NAGAR,VARADHARAJA PERUMAL NAGAR 1ST STREET,S_W004_001,13.178747,80.296786,80.2967858,13.1787467,Full
133,N01,N004,ERNAVOOR,KAMARAJ NAGAR,KAMARAJ NAGAR 1ST CROSS STREET,S_W004_001,13.186338,80.307464,80.3074643,13.1863379,Full
134,N01,N004,ERNAVOOR,KAMARAJ NAGAR,KAMARAJ NAGAR 1ST CROSS STREET,S_W004_002,13.186625,80.30692,80.3069195,13.1866247,Half Full
135,N01,N004,ERNAVOOR,MAHALAKSHMI NAGAR,MAHALAKSHMI NAGAR,S_W004_001,13.18618,80.3056,80.3055997,13.1861804,Empty
136,N01,N004,ERNAVOOR,MAHALAKSHMI NAGAR,MAHALAKSHMI NAGAR,S_W004_001,13.186207,80.305663,80.3056627,13.1862069,Full
137,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM 10TH STREET,S_W004_001,13.176662,80.299966,80.2999663,13.1766622,Empty
138,N01,N004,TIRUVOTTRIYUR,POOMPUHAR NAGAR,POOMPUHAR NAGAR,S_W004_001,13.175914,80.30338,80.3033796,13.1759139,Empty
139,N01,N004,ERNAVOOR,ERNAVOOR,GANDHI NAGAR,S_W004_001,13.190878,80.309095,80.3090953,13.1908778,Empty
140,N01,N004,ERNAVOOR,ERNEESWARAR NAGAR,ERNEESWARAR NAGAR 4TH STREET,S_W004_001,13.19295,80.310418,80.3104181,13.1929504,Half Full
141,N01,N004,ERNAVOOR,ERNEESWARAR NAGAR,ERNEESWARAR NAGAR 4TH STREET,S_W004_002,13.193118,80.310012,80.3100122,13.1931181,Half Full
142,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM EXTENSION 6TH STREET,S_W004_001,13.176339,80.301641,80.3016408,13.1763394,Full
143,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM EXTENSION 6TH STREET,S_W004_002,13.176376,80.301684,80.3016841,13.1763755,Half Full
144,N01,N004,ERNAVOOR,BRINDAVAN NAGAR,BRINDAVAN NAGAR EXTENSION,S_W004_001,13.187406,80.306105,80.3061048,13.1874063,Full
145,N01,N004,ERNAVOOR,KAMARAJ NAGAR,KAMARAJ NAGAR 1 TO 6 TH ST,S_W004_001,13.186993,80.307849,80.307849,13.186993,Empty
146,N01,N004,ERNAVOOR,KAMARAJ NAGAR,KAMARAJ NAGAR 1 TO 6 TH ST,S_W004_002,13.188191,80.308432,80.3084325,13.1881911,Full
147,N01,N004,TIRUVOTTRIYUR,RAMANATHAPURAM,RAMANATHAPURAM 2ND STREET,S_W004_001,13.180566,80.30234,80.3023398,13.1805665,Full
148,N01,N004,ERNAVOOR,ERNEESWARAR NAGAR,ERNEESWARAR KOIL STREET,S_W004_001,13.192698,80.310967,80.310967,13.1926979,Half Full
149,N01,N004,ERNAVOOR,ERNEESWARAR NAGAR,ERNEESWARAR KOIL STREET,S_W004_002,13.191602,80.310687,80.3106871,13.1916024,Full
150,N01,N004,TIRUVOTTRIYUR,SHANMUGAPURAM,SHANMUGAPURAM EXTENSION 3RD STREET,S_W004_001,13.175748,80.301501,80.3015008,13.1757478,Full
151,N01,N004,ERNAVOOR,GATE ROAD,"GATE ROAD, ERNEESWARAN KOIL STREET",S_W004_001,13.191793,80.309321,80.3093213,13.1917928,Half Full
152,N01,N004,ERNAVOOR,GATE ROAD,"GATE ROAD, ERNEESWARAN KOIL STREET",S_W004_002,13.191209,80.309632,80.3096317,13.1912089,Full
153,N01,N004,ERNAVOOR,MAHALIYAMMAN KOIL,MAHALIYAMMAN STREET,S_W004_001,13.191766,80.307731,80.3077307,13.1917656,Full
154,N01,N004,TIRUVOTTRIYUR,VARADHARAJA PERUMAL NAGAR,VARADHARAJA PERUMAL NAGAR,S_W004_001,13.178682,80.2968,80.2968,13.1786816,Full
155,N01,N004,ERNAVOOR,BRINDAVAN NAGAR,BRINDAVAN NAGAR,S_W004_001,13.186557,80.305806,80.3058057,13.1865567,Half Full
156,N01,N004,ERNAVOOR,VASANTHAM NAGAR,BAJANAI KOIL STREET,S_W004_001,13.190977,80.30881,80.3088097,13.1909768,Half Full
157,N01,N005,AJAX,AJAX,TIRUVOTTRIYUR HIGH ROAD,S_W005_001,13.168554,80.304496,80.3044965,13.168554,Half Full
158,N01,N005,AJAX,AJAX,TIRUVOTTRIYUR HIGH ROAD,S_W005_002,13.170349,80.304908,80.3049076,13.1703491,Full
159,N01,N005,AJAX,AJAX,TIRUVOTTRIYUR HIGH ROAD,S_W005_003,13.171194,80.305065,80.3050649,13.171194,Half Full
160,N01,N005,AJAX,AJAX,TIRUVOTTRIYUR HIGH ROAD,S_W005_004,13.172954,80.305532,80.3055317,13.1729536,Full
161,N01,N005,AJAX,AJAX,TIRUVOTTRIYUR HIGH ROAD,S_W005_005,13.174389,80.3059,80.3059002,13.1743895,Half Full
162,N01,N005,AJAX,AJAX,TIRUVOTTRIYUR HIGH ROAD,S_W005_006,13.174978,80.306081,80.3060814,13.1749781,Empty
163,N01,N005,AJAX,AJAX,TIRUVOTTRIYUR HIGH ROAD,S_W005_007,13.175848,80.306326,80.3063257,13.1758478,Full
164,N01,N005,AJAX,AJAX,TIRUVOTTRIYUR HIGH ROAD,S_W005_008,13.173201,80.305731,80.3057308,13.1732007,Full
165,N01,N005,AJAX,AJAX,TIRUVOTTRIYUR HIGH ROAD,S_W005_009,13.172837,80.305533,80.3055333,13.1728372,Full
166,N01,N005,AJAX,AJAX,TIRUVOTTRIYUR HIGH ROAD,S_W005_010,13.171595,80.305223,80.3052233,13.1715951,Full
167,N01,N005,ERNAVOOR,BHARATHIYAR NAGAR,MA.VE.NA NAGAR 2ND STREET,S_W005_001,13.185167,80.31672,80.3167199,13.1851671,Full
168,N01,N005,ERNAVOOR,BHARATHIYAR NAGAR,MA.VE.NA NAGAR 3RD STREET,S_W005_001,13.185629,80.316898,80.3168979,13.1856294,Empty
169,N01,N005,ERNAVOOR,NORTHBHARATHIYAR NAGAR,NORTH BHARATHIYAR NAGAR 2ND STREET,S_W005_001,13.187386,80.316199,80.3161993,13.1873861,Half Full
170,N01,N005,ERNAVOOR,RAMAKRISHNA NAGAR,RAMAKRISHNA NAGAR 4TH MAIN ROAD,S_W005_001,13.184503,80.316619,80.3166195,13.184503,Empty
171,N01,N005,WIMCO NAGAR,NEITHAL NAGAR,TNHB NEITHAL NAGAR,S_W005_001,13.182888,80.310191,80.3101909,13.1828877,Half Full
172,N01,N005,ERNAVOOR,RAMAKRISHNA NAGAR,RAMAKRISHNA NAGAR 1ST STREET,S_W005_001,13.184692,80.31319,80.31319,13.1846917,Full
173,N01,N005,ERNAVOOR,RAMAKRISHNA NAGAR,RAMAKRISHNA NAGAR 1ST STREET,S_W005_002,13.183493,80.313582,80.3135815,13.1834926,Full
