OBJECTID,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,LONGITUDE_POINT,LATITUDE_POINT,BIN_STATUS
9025,N14,N185,PALAVAKKAM,PERIYAR SALAI,PERIYAR SALAI,S_W185_002,12.964514,80.253333,80.2533326,12.9645136,Full
9026,N14,N185,PALAVAKKAM,PERIYAR SALAI,PERIYAR SALAI,S_W185_003,12.964514,80.253333,80.2533326,12.9645136,Full
9027,N14,N185,PALAVAKKAM,PERIYAR SALAI,PERIYAR SALAI,S_W185_004,12.964514,80.253333,80.2533326,12.9645136,Half Full
9028,N14,N185,PALAVAKKAM,PERIYAR SALAI,PERIYAR SALAI,S_W185_005,12.964514,80.253333,80.2533326,12.9645136,Empty
9029,N14,N185,PALAVAKKAM,PERIYAR SALAI,PERIYAR SALAI,S_W185_006,12.964514,80.253333,80.2533326,12.9645136,Half Full
9030,N14,N185,PALAVAKKAM,EAST COAST ROAD,KAMARAJAR SALAI,S_W185_001,12.966919,80.255694,80.2556938,12.9669195,Half Full
9031,N14,N185,PALAVAKKAM,VGP LAY OUT,VGP 1ST MAIN ROAD,S_W185_004,12.961845,80.257277,80.2572771,12.9618451,Full
9032,N14,N185,PALAVAKKAM,VGP LAY OUT,VGP 1ST MAIN ROAD,S_W185_003,12.962426,80.257466,80.2574664,12.9624259,Empty
9033,N14,N185,PALAVAKKAM,VGP LAY OUT,VGP 1ST MAIN ROAD,S_W185_002,12.96193,80.260431,80.2604312,12.96193,Full
9034,N14,N185,PALAVAKKAM,VGP LAY OUT,VGP 1ST MAIN ROAD,S_W185_001,12.961855,80.261613,80.2616128,12.9618553,Full
9035,N14,N185,PALAVAKKAM,AMBEDKAR SALAI,VEERAMANI SALAI MAIN ROAD,S_W185_001,12.966631,80.249678,80.2496784,12.9666305,Empty
9036,N14,N185,PALAVAKKAM,AMBEDKAR SALAI,VEERAMANI SALAI MAIN ROAD,S_W185_002,12.966611,80.249698,80.2496985,12.9666111,Full
9037,N14,N185,PALAVAKKAM,AMBEDKAR SALAI,VEERAMANI SALAI MAIN ROAD,S_W185_003,12.9667,80.249173,80.2491735,12.9666996,Empty
9038,N14,N185,PALAVAKKAM,VEERAMANI SALAI,AMBEDKAR SALAI,S_W185_002,12.966773,80.248958,80.2489585,12.9667729,Half Full
9039,N14,N185,PALAVAKKAM,VEERAMANI SALAI,AMBEDKAR SALAI,S_W185_001,12.966779,80.248931,80.2489309,12.9667795,Full
9040,N14,N185,PALAVAKKAM,EAST COAST ROAD,ANNA SALAI,S_W185_001,12.961409,80.25721,80.2572103,12.9614092,Full
9041,N14,N185,PALAVAKKAM,EAST COAST ROAD,ANNA SALAI,S_W185_002,12.96141,80.257218,80.2572177,12.9614102,Full
9042,N14,N185,PALAVAKKAM,EAST COAST ROAD,ANNA SALAI,S_W185_003,12.961127,80.25901,80.2590098,12.9611268,Half Full
9043,N14,N185,PALAVAKKAM,EAST COAST ROAD,ANNA SALAI,S_W185_004,12.960863,80.261064,80.2610641,12.9608632,Full
9044,N14,N185,PALAVAKKAM,EAST COAST ROAD,ANNA SALAI,S_W185_005,12.960834,80.261057,80.2610567,12.9608342,Half Full
